Reference, Value, Footprint, Datasheet, digikey#, manf#
"U1","LMR50410XDBVR","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","https://www.ti.com/lit/ds/symlink/lmr50410.pdf?ts=1612087396442","296-LMR50410XDBVRCT-ND","LMR50410XDBVR"
"C2","100n","","~","490-3285-1-ND","GRM188R72A104KA35D"
"C3","100n","","~","587-1240-1-ND","EMK107B7104KA-T"
"L1","12u","","~","SRN6045-150MCT-ND","SRN6045-150M"
"R1","51k","","~","311-51.0KHRCT-ND","RC0603FR-0751KL"
"R2","22.1k","","~","541-22.1KHCT-ND","CRCW060322K1FKEA"
"C4","22u","","~","490-14659-1-ND","GRM21BD70J226ME44L"
"JP1","EN","","~"
"C1","10u","","~","445-5998-1-ND","C3216X5R1H106K160AB"
"C5","22u","","~","490-14659-1-ND","GRM21BD70J226ME44L"
"D1","LED","","~","160-1182-1-ND","LTST-C190EKT"
"R3","150","","~","541-4023-1-ND","CRCW0603150RFKEAC"
"J4","Vout","","~"
"J2","Vin","","~"
"J1","Vin_jmp","","~"
"J3","Vout_jmp","","~"
